Configuration,Quality,Feature 1,Feature 2,Feature 3,Feature 4
2,0,132,116,106,116
2,0,134,118,120,114
3,0,132,117,113.75,110
2,0,132,118,104.75,116
3,0,131,117,121.25,110
2,0,134,116,111.25,114
3,0,134,118,118.5,112
1,0,129,119,116.5,108
3,0,131,119,112.5,114
3,0,130,120,112.75,114
3,0,134,118,115.25,104
3,0,132,121,109.25,112
3,0,134,119,110.5,106
1,0,131,117,105.75,120
2,0,133,118,105.75,118
3,0,131,118,120.25,108
2,0,131,116,103.75,122
3,0,132,118,123.5,106
2,0,133,117,105,120
3,0,133,118,110.75,112
2,0,132,118,112.25,112
3,0,134,117,113,106
2,0,136,118,108.5,114
3,0,131,118,119.75,106
2,0,136,118,113.75,114
1,0,132,113,121.25,106
2,0,134,116,107.5,116
3,0,132,118,123,108
2,0,132,117,107.75,116
3,0,131,118,120.75,112
2,0,133,117,106,116
2,0,132,117,109.75,114
3,0,132,119,117.25,110
2,0,135,118,106,116
3,0,134,118,117.5,110
2,0,133,117,107.25,116
3,0,134,120,117.75,108
1,0,129,120,114,110
3,0,131,119,108.25,112
3,0,130,119,115,112
3,0,132,118,116.25,106
3,0,133,118,115.5,106
3,0,133,120,110,110
1,0,131,117,104.25,122
2,0,133,117,105.75,120
3,0,131,119,124.25,108
2,0,134,117,104.25,122
3,0,132,118,122,106
2,0,134,116,103.75,118
3,0,132,119,115.25,110
2,0,132,117,107,114
3,0,134,118,109.25,110
2,0,135,118,107.5,114
3,0,131,117,116.25,106
2,0,133,118,107,114
1,0,132,117,120.25,106
2,0,140,117,106.75,122
3,0,133,118,123,104
2,0,134,116,107,112
3,0,132,117,122.25,106
2,0,132,117,105.25,114
2,0,133,117,110,112
3,0,132,118,122.25,108
2,0,135,118,112.25,114
3,0,133,118,120.25,110
2,0,133,118,108,116
3,0,135,120,119.25,110
1,0,133,120,109.75,116
2,0,132,118,107.5,120
3,0,131,118,123,106
2,0,135,118,106.75,116
3,0,133,117,121,106
2,0,136,118,109.75,118
3,0,133,118,117.25,108
2,0,132,117,108.75,114
3,0,133,119,115.25,108
2,0,134,118,108.25,116
3,0,131,118,118.25,104
2,0,135,119,118.25,114
1,0,131,117,117,110
2,0,134,118,108.25,114
3,0,132,118,117.5,108
2,0,134,117,107.5,114
3,0,133,118,121.25,110
2,0,133,117,111.75,114
2,0,136,118,113.25,112
3,0,135,118,114.75,114
2,0,136,118,103.75,116
3,0,134,118,120.5,110
2,0,134,120,112.25,114
3,0,134,118,117.75,110
1,0,130,117,119,106
3,0,131,119,114.75,112
3,0,131,119,115.5,112
3,0,132,118,112.25,108
3,0,132,119,113.25,108
3,0,132,120,113.75,104
1,0,134,118,114.25,116
2,0,134,118,107.75,114
3,0,132,118,124,106
2,0,134,118,108.25,116
3,0,135,119,123.25,106
2,0,134,118,105.75,116
2,0,134,118,112,112
3,0,132,120,119.25,108
2,0,136,120,113.75,116
3,0,134,118,122.75,108
2,0,135,120,114.75,112
3,0,135,118,121,108
1,0,132,118,107,116
2,0,134,119,110.5,118
3,0,131,118,114.25,108
2,0,134,118,104.75,120
3,0,133,119,120,108
2,0,134,118,102.75,120
3,0,131,119,114.5,112
2,0,131,118,106,114
3,0,131,118,116.75,108
2,0,131,117,109,114
3,0,131,120,114,110
2,0,132,117,103.25,116
1,0,129,116,116.75,110
2,0,132,117,104.5,114
3,0,137,117,111,116
2,0,141,110,113.25,142
3,0,131,119,120.25,108
2,0,132,117,104.25,116
2,0,134,117,107.25,116
3,0,134,118,113,112
2,0,134,118,106.5,116
3,0,134,119,117.25,108
2,0,136,118,107,116
3,0,138,117,121.75,108
1,0,131,120,105.75,118
2,0,133,118,110.25,118
3,0,131,120,122.5,108
2,0,133,118,106.75,118
3,0,132,120,122,108
2,0,134,117,107.5,120
3,0,131,117,115.5,110
2,0,131,118,112.25,112
3,0,131,118,120.25,104
2,0,134,118,114.5,112
3,0,131,118,118,106
2,0,133,118,112.25,112
1,0,129,116,119,110
2,0,136,118,109,116
3,0,132,119,121.25,106
2,0,132,117,111.5,110
3,0,132,120,122,108
2,0,132,117,108.75,112
2,0,137,118,115.75,112
3,0,135,118,114.75,112
2,0,138,118,107.75,114
3,0,136,120,113.5,108
2,0,138,118,116.5,114
3,0,139,118,119.25,110
1,0,129,118,115.25,110
3,0,131,120,112,116
3,0,131,120,116.75,108
3,0,132,119,114,110
3,0,133,120,111.25,112
3,0,134,119,111.75,106
1,0,131,117,119.5,110
2,0,135,118,104,118
3,0,132,118,120,106
2,0,134,117,107.5,114
3,0,131,120,122.75,110
2,0,132,117,109,114
2,0,136,117,111.25,114
3,0,136,118,118.5,108
2,0,136,118,107.75,116
3,0,134,118,122,106
2,0,134,118,114.25,112
3,0,134,120,122.5,106
1,0,133,119,106.5,116
2,0,133,118,111.25,118
3,0,131,120,122.75,104
2,0,135,118,101.5,122
3,0,134,120,123,106
2,0,136,118,102.25,120
3,0,132,118,114,108
2,0,133,118,121,110
3,0,133,120,114,106
2,0,132,118,106.25,114
3,0,133,119,116.75,108
2,0,134,118,104.5,114
1,0,129,116,121.25,106
2,0,132,117,107.25,114
3,0,131,118,121,108
2,0,134,117,110,112
3,0,131,119,119.25,108
2,0,133,116,108.75,114
2,0,138,118,110.5,112
3,0,135,120,116.5,108
2,0,139,117,109,114
3,0,139,116,118.25,106
2,0,137,119,108,116
3,0,137,118,115,110
1,0,132,120,102.5,122
2,0,134,120,108.5,120
3,0,131,120,119.25,110
2,0,134,119,105.75,118
3,0,132,120,118.5,112
2,0,136,118,105.25,120
3,0,135,118,114.25,112
2,0,134,120,110.25,114
3,0,133,119,108.5,110
2,0,133,118,113,112
3,0,132,118,116,106
2,0,134,118,103.25,116
1,0,132,117,121.5,106
2,0,134,117,106.5,116
3,0,131,118,122,106
2,0,137,118,111.5,116
3,0,133,118,123.75,108
2,0,134,117,108,112
2,0,136,119,117.5,114
3,0,134,120,117.75,112
2,0,137,118,115.5,112
3,0,136,120,116,110
2,0,135,120,105,116
3,0,136,119,118.25,108
1,0,131,117,119.5,104
3,0,132,119,108.5,114
3,0,131,119,112,108
3,0,132,120,111.25,112
3,0,132,118,110.5,110
3,0,135,120,111.5,106
1,0,129,117,121.5,108
2,0,132,119,108.5,112
3,0,131,120,121,108
2,0,134,118,106.75,114
3,0,134,118,122.75,106
2,0,135,119,108,116
2,0,138,119,112.25,114
3,0,136,120,116.5,110
2,0,138,119,108.5,114
3,0,138,120,118.25,108
2,0,140,120,107.75,118
3,0,143,117,125.25,116
1,0,134,120,105,120
2,0,134,118,108,120
3,0,133,120,119.25,106
2,0,136,118,106,120
3,0,134,121,114.5,112
2,0,135,118,114.5,118
3,0,133,118,118.25,108
2,0,135,118,114.5,110
3,0,134,118,117.5,106
2,0,136,118,113.25,112
3,0,132,118,116.5,108
2,0,134,118,115.5,112
1,0,131,117,119.5,108
2,0,135,118,108.25,114
3,0,131,120,119.5,110
2,0,135,119,109.25,116
3,0,132,120,121.25,108
2,0,136,117,111.25,114
2,0,136,120,110.75,114
3,0,133,120,118,110
2,0,136,118,111.25,112
3,0,136,118,112.75,108
2,0,137,118,110.25,114
3,0,136,119,117.75,110
1,0,130,117,119.25,102
3,0,132,120,113,112
3,0,134,120,114.75,114
3,0,133,122,110.75,110
3,0,134,120,111.25,112
3,0,132,119,115.75,108
1,0,131,118,115.5,112
2,0,134,118,104.5,118
3,0,132,120,119.25,108
2,0,134,117,106.5,116
3,0,131,120,121,106
2,0,134,118,105.75,116
2,0,137,119,106.5,116
3,0,136,120,110.75,112
2,0,137,119,112,116
3,0,136,119,117.75,110
2,0,138,119,111.75,116
3,0,138,119,119.5,106
1,0,132,120,110.5,118
2,0,133,120,105,122
3,0,131,121,119.5,108
2,0,134,120,106.5,120
3,0,134,119,122,106
2,0,136,118,106,120
3,0,134,120,117,108
2,0,135,120,117,114
3,0,133,117,116,106
2,0,136,117,107,114
3,0,132,118,120.25,104
2,0,134,119,112.25,116
1,0,134,118,112,116
2,0,134,118,105.75,114
3,0,131,118,119.75,110
2,0,136,117,110.25,112
3,0,131,119,119.5,110
2,0,132,118,108.25,112
2,0,137,118,115.25,114
3,0,135,120,112.25,112
2,0,137,118,106,114
3,0,136,120,116,110
2,0,137,118,109.75,116
3,0,138,120,113.75,108
1,0,131,119,117.5,110
3,0,131,120,116.25,110
3,0,132,120,115.75,108
3,0,133,120,113.5,106
3,0,133,120,116.5,106
3,0,134,120,109,108
1,0,134,117,121.5,106
2,0,135,119,111.25,114
3,0,134,120,118.75,106
2,0,136,119,112.25,114
3,0,135,119,117.5,108
2,0,136,119,107,116
2,0,134,119,110.25,114
3,0,135,118,113.25,110
2,0,136,119,110.75,114
3,0,136,120,118.5,108
2,0,136,120,111.75,116
3,0,136,120,122.5,104
1,0,131,120,107.25,118
2,0,134,120,107.75,120
3,0,131,120,122.25,108
2,0,132,120,100.25,122
3,0,134,120,120.75,106
2,0,134,118,106.5,122
3,0,133,118,114,110
2,0,135,118,116,112
3,0,134,119,118.75,106
2,0,135,118,106,116
3,0,134,118,115.75,106
2,0,134,118,104,114
1,0,131,116,119.5,108
2,1,141,117,100,124
3,0,132,120,118.25,106
2,0,133,118,108.25,112
3,0,134,119,124.5,106
2,0,134,117,108,112
2,0,136,118,108.25,114
3,0,136,120,112.5,112
2,0,135,120,109,116
3,0,136,120,116,110
2,0,136,119,106.75,116
3,0,137,120,116.5,112
1,0,134,117,118.5,104
3,0,134,120,116.5,110
3,0,132,121,115.75,110
3,0,134,120,109.75,108
3,0,136,120,113.75,108
3,0,134,121,112,106
1,0,130,117,120.5,104
2,0,135,118,109.5,114
3,0,132,120,121.5,106
2,0,135,118,107.5,114
3,0,134,120,122.5,108
2,0,136,117,103.5,116
2,0,136,118,107.25,114
3,0,135,120,117,110
2,0,136,118,111.5,114
3,0,137,120,120.25,108
2,0,136,120,117.25,112
3,0,136,120,119,106
1,0,137,119,115.5,108
3,0,133,119,114.25,112
3,0,134,121,114.75,108
3,0,136,120,114.5,106
3,0,139,120,115.75,110
3,0,136,119,113.25,110
1,0,134,118,104.25,120
2,0,135,120,101.75,122
3,0,132,120,122,108
2,0,134,120,104,122
3,0,133,120,118.25,110
2,0,136,118,101.5,120
3,0,134,120,112.75,112
2,0,135,120,110.5,114
3,0,136,118,109.25,108
2,0,136,120,105.25,118
3,0,138,120,115.75,108
2,0,136,119,103.5,114
1,0,134,117,121.25,104
2,0,137,118,103.5,120
3,0,134,119,121.25,108
2,0,136,117,106.75,114
3,0,133,120,123.5,108
2,0,134,118,106.75,114
2,0,137,118,119,110
3,0,136,120,118.25,108
2,0,140,119,107.75,118
3,0,136,120,122.75,104
2,0,135,118,108.5,116
3,0,136,120,121.75,106
1,0,133,118,108.5,118
2,0,134,120,108.25,118
3,0,131,120,117,108
2,0,134,117,106,120
3,0,132,120,119.25,110
2,0,134,118,104.5,120
3,0,134,118,115,110
2,0,134,119,105.75,114
3,0,133,118,122,104
2,0,134,118,108.5,114
3,0,132,120,116.25,108
2,0,134,118,102.5,118
1,0,134,117,123,108
2,0,141,118,107.5,118
3,0,136,118,120.75,108
2,0,135,118,108.25,112
3,0,137,118,123.5,108
2,0,135,118,109.75,114
2,0,137,118,112.25,112
3,0,136,120,115.5,110
2,0,141,118,109.75,118
3,0,137,118,119.75,108
2,0,136,119,105.75,118
3,0,136,120,120.25,108
1,0,132,121,115.25,108
3,0,132,120,106.5,114
3,0,131,120,112.25,110
3,0,131,120,110.25,108
3,0,134,120,116.25,106
3,0,134,120,113,106
1,0,131,118,108,118
2,0,134,119,105.75,120
3,0,131,120,120.5,106
2,0,134,118,100.75,122
3,0,132,120,122,106
2,0,136,118,108.75,120
3,0,133,120,110.5,108
2,0,134,118,109.75,114
3,0,134,118,113.25,108
2,0,134,118,106.25,112
3,0,135,118,111.75,108
2,0,134,119,101.75,116
1,0,131,116,119.5,108
2,0,141,118,106.75,120
3,0,133,118,123.25,106
2,0,134,117,106,112
3,0,134,118,120.5,106
2,0,135,117,106.75,112
2,0,136,117,106.25,116
3,0,136,119,120.75,106
2,0,137,119,116,114
3,0,137,119,117.5,108
2,0,137,120,114.75,112
3,0,136,120,121.75,106
1,0,133,118,119.5,106
3,0,132,121,120.75,106
3,0,131,120,117.75,108
3,0,132,118,115.25,108
3,0,132,120,112.75,106
3,0,134,118,112.25,112
1,0,133,117,106.5,118
2,0,134,118,106.75,120
3,0,132,120,122.5,106
2,0,134,119,102,122
3,0,132,119,125.75,108
2,0,134,117,103,122
3,0,132,118,112.25,112
2,1,134,118,115.5,110
3,0,133,117,116.25,106
2,0,135,119,115,110
3,0,132,117,118.5,108
2,0,136,118,113.5,112
1,0,134,116,121.5,108
2,0,143,113,110.25,126
3,0,138,117,124,104
2,0,138,118,107.5,116
3,0,137,118,123.75,106
2,0,136,116,109,112
2,0,137,119,108,116
3,0,137,118,115.75,108
2,0,136,120,103.75,118
3,0,137,118,121,108
2,0,137,118,116.5,110
3,0,137,119,123.25,104
1,0,132,119,108.25,118
2,0,133,119,107.75,122
3,0,132,118,120,108
2,0,134,118,98.25,122
3,0,132,120,119.25,108
2,0,134,118,101,120
3,0,133,118,115,112
2,0,132,118,113.5,112
3,0,132,117,123,104
2,0,134,117,108,112
3,0,131,117,123.25,104
2,0,134,118,108.25,112
1,0,132,117,117.75,108
2,1,144,118,99,156
3,0,136,120,119.5,108
2,0,136,118,110.25,114
3,0,136,118,123,106
2,0,135,118,108.25,112
2,0,136,119,111.5,114
3,0,136,120,116.25,110
2,0,137,120,109.25,116
3,0,136,120,119.25,110
2,0,136,121,109.75,116
3,0,136,120,123.25,104
1,0,133,119,110,116
2,0,136,119,109.5,118
3,0,132,120,120.5,108
2,0,134,119,101.25,120
3,0,133,120,120.5,108
2,0,135,118,109.25,118
3,0,132,117,122.25,108
2,0,134,118,116.75,110
3,0,132,118,121.75,106
2,0,134,118,112.5,110
3,0,132,117,127.75,104
2,0,135,118,117.5,112
1,0,134,117,119,108
2,1,141,115,111.75,116
3,0,135,118,122.25,106
2,0,136,118,108.75,114
3,0,134,119,123.75,106
2,0,136,117,110.25,110
2,0,137,118,109,116
3,0,137,118,116.5,110
2,0,138,120,108,116
3,0,136,120,121.75,106
2,0,136,119,105,116
3,0,135,120,119.25,110
1,0,131,118,119.5,104
3,0,132,121,116.5,114
3,0,133,120,116.75,112
3,0,133,121,114.75,108
3,0,134,121,116.5,108
3,0,135,122,113,104
1,0,134,117,114.25,112
2,0,138,117,109,116
3,0,135,119,123.5,104
2,0,139,118,109.25,114
3,0,135,119,123.75,104
2,0,136,118,106.5,114
2,0,137,118,110.5,114
3,0,137,118,117.5,108
2,0,141,118,111,118
3,0,137,119,121.5,106
2,0,137,120,116.25,114
3,0,136,119,119,106
1,0,133,120,107.75,116
2,0,135,119,106.75,118
3,0,132,120,116.25,108
2,0,135,120,105.75,120
3,0,133,120,119,108
2,0,134,120,112.25,116
3,0,132,118,113.5,110
2,0,135,119,117.75,108
3,0,133,118,118.75,108
2,0,136,117,113.5,110
3,0,133,118,119.25,106
2,0,135,120,116.75,110
1,0,134,117,117.75,110
2,0,141,120,101,124
3,0,136,118,121.25,106
2,0,137,117,110,116
3,0,136,120,123.5,104
2,0,136,117,104.75,116
2,0,137,118,115.75,112
3,0,137,120,116.25,110
2,0,143,120,107,126
3,0,137,122,115.25,108
2,0,136,120,118.5,112
3,0,138,120,122.25,106
1,0,136,120,116.25,108
3,0,135,120,117.5,106
3,0,132,122,117,108
3,0,136,120,113.75,108
3,0,136,122,112.25,112
3,0,136,121,115.5,104
1,0,134,117,120,108
2,1,143,117,104.5,146
3,0,137,118,118.25,106
2,0,137,118,102,118
3,0,136,119,123.75,104
2,0,137,118,109.5,114
2,0,136,119,108.25,112
3,0,136,119,119.25,106
2,0,138,121,111,116
3,0,137,118,124.75,104
2,0,136,119,114.5,114
3,0,136,120,119.25,106
1,0,134,121,104.5,120
2,0,134,120,107.25,120
3,0,132,120,121.5,104
2,0,135,121,104.5,122
3,0,133,122,116.75,108
2,0,134,120,98.75,122
3,0,134,120,107.75,112
2,0,134,120,106.75,116
3,0,135,118,110.25,108
2,0,134,119,104.75,116
3,0,132,120,115,108
2,0,135,118,110.25,114
1,0,134,115,121.5,102
2,0,136,118,103.75,118
3,0,136,120,117.5,108
2,0,135,117,105.5,112
3,0,134,120,119.75,106
2,0,134,118,110.5,114
2,0,136,119,105.75,114
3,0,135,121,114.75,110
2,0,136,120,104.5,118
3,0,136,121,119.75,108
2,0,134,120,107,116
3,0,134,120,118.25,108
1,0,127,118,114.5,110
3,0,129,118,104.5,116
3,0,127,118,109.25,110
3,0,129,118,112.25,106
3,0,130,118,110.25,108
3,0,131,117,113.75,110
1,0,129,115,107,118
2,0,130,117,105.25,120
3,0,129,115,126.5,102
2,0,131,116,108.25,118
3,0,131,117,127,102
2,0,130,116,106.75,118
3,0,131,117,110.75,108
2,0,129,117,108.75,114
3,0,132,117,111.5,108
2,0,131,117,108.5,114
3,0,129,117,117.5,104
2,0,132,116,106.25,114
1,0,127,114,125.25,102
2,0,129,117,104.5,116
3,0,128,118,119.5,106
2,0,129,117,106,112
3,0,130,117,121.25,106
2,0,129,116,107.75,114
2,0,132,115,109.75,114
3,0,129,118,121.25,106
2,0,133,116,107,116
3,0,129,117,122,106
2,0,131,115,114,112
3,0,131,118,120.5,106
1,0,127,117,109.25,118
2,0,129,117,109.25,120
3,0,129,117,120.5,104
2,0,131,117,108,118
3,0,129,117,121.5,108
2,0,131,116,104.25,120
3,0,132,118,110.5,108
2,0,129,117,113.5,110
3,0,129,117,117,106
2,0,130,116,108.5,112
3,0,129,116,116,104
2,0,130,116,109.5,114
1,0,127,113,113,110
2,0,139,113,109,120
3,0,128,117,120,108
2,0,131,113,106.75,114
3,0,129,117,118,106
2,0,129,115,105.25,116
2,0,132,117,109.5,114
3,0,130,118,116.5,112
2,0,132,114,106.5,116
3,0,131,118,120.75,108
2,0,132,114,110,114
3,0,130,116,124,104
1,0,131,115,107.75,116
2,0,131,117,110.5,118
3,0,129,117,117.5,108
2,0,130,116,106.75,120
3,0,129,117,121.25,110
2,0,131,115,103.5,120
3,0,131,116,121.25,108
2,0,131,117,115.75,108
3,0,131,117,114.25,110
2,0,131,117,112.75,110
3,0,128,117,120.75,106
2,0,131,116,116.75,110
1,0,127,115,121,106
2,1,139,114,108.25,124
3,0,129,117,116.75,108
2,0,131,116,104.25,114
3,0,130,118,118.25,106
2,0,131,116,104.75,112
2,0,132,117,109.75,112
3,0,130,119,117.5,110
2,0,132,117,107.25,116
3,0,131,118,118,110
2,0,132,117,108.75,116
3,0,132,118,119.5,112
1,0,129,115,119.75,106
3,0,129,118,117.25,112
3,0,129,118,113,108
3,0,131,119,110.25,108
3,0,132,117,113.5,108
3,0,131,119,116.25,104
1,0,129,117,110.5,116
2,0,134,117,107.5,116
3,0,129,118,117,106
2,0,131,117,107,118
3,0,129,118,121.75,104
2,0,131,117,106,118
2,0,131,114,109.5,112
3,0,131,118,119.5,108
2,0,133,117,110.5,116
3,0,132,117,120,104
2,0,133,117,113.75,114
3,0,132,118,119.25,106
1,0,128,117,110.75,116
2,0,132,117,109.5,118
3,0,132,116,121.75,104
2,0,133,116,107.5,120
3,0,132,117,121.5,108
2,0,132,117,105,118
3,0,131,118,111,110
2,0,131,118,120,110
3,0,134,118,118.25,104
2,0,134,117,108,116
3,0,131,118,114.75,108
2,0,132,117,110.75,114
1,0,128,113,117.5,108
2,0,133,117,108.75,112
3,0,132,116,121.5,104
2,0,132,117,108.25,114
3,0,131,117,122.5,108
2,0,132,116,106.75,114
2,0,132,118,110,112
3,0,132,119,119.25,108
2,0,134,117,111.5,116
3,0,134,119,120.25,106
2,0,132,118,113,116
3,0,134,117,116.75,108
1,0,132,113,123.5,102
3,0,134,118,115.75,110
3,0,135,118,119.75,106
3,0,137,118,114.25,108
3,0,137,118,116.5,106
3,0,138,118,115,106
1,0,127,116,118.75,106
2,0,133,117,107.5,116
3,0,131,118,121,104
2,0,132,117,105.5,114
3,0,129,118,119.5,108
2,0,131,117,110.75,114
2,0,136,116,112.75,112
3,0,131,117,121.75,104
2,0,134,117,110.75,116
3,0,131,118,119.25,106
2,0,133,116,115.75,112
3,0,133,118,119,106
1,0,132,113,120.5,104
3,0,135,117,113.25,112
3,0,134,118,117.25,110
3,0,136,118,111.5,108
3,0,137,118,113.5,110
3,0,135,117,115.25,112
1,0,131,113,113.25,116
2,0,132,118,107,120
3,0,130,118,120.75,112
2,0,131,115,105,120
3,0,131,117,124.5,104
2,0,131,116,108.25,120
3,0,131,118,109.25,112
2,0,132,118,116.75,112
3,0,131,116,113.75,108
2,0,132,117,106.75,116
3,0,131,117,115.25,106
2,0,135,118,107.75,114
1,0,127,114,120.25,112
2,0,136,117,107.25,118
3,0,129,118,122.5,106
2,0,131,117,106.5,116
3,0,132,118,117.25,108
2,0,131,116,108.5,112
2,0,132,116,107.75,116
3,0,134,118,124,104
